"","land","barr","mort","scalemig"
"1","ibd1",0,0,1
"2","ibd1",0,25,0.769230769230769
"3","ibd1",0,50,0.538461538461539
"4","ibd1",0,75,0.282051282051282
"5","ibd1",0,100,0
"26","ibr20",0,0,1
"27","ibr20",0,25,0.777777777777778
"28","ibr20",0,50,0.555555555555556
"29","ibr20",0,75,0.259259259259259
"30","ibr20",0,100,0
"51","ibr21",0,0,1
"52","ibr21",0,25,0.771428571428571
"53","ibr21",0,50,0.542857142857143
"54","ibr21",0,75,0.285714285714286
"55","ibr21",0,100,0
"76","ibr22",0,0,1
"77","ibr22",0,25,0.766666666666667
"78","ibr22",0,50,0.533333333333333
"79","ibr22",0,75,0.266666666666667
"80","ibr22",0,100,0
"101","ibr23",0,0,1
"102","ibr23",0,25,0.761904761904762
"103","ibr23",0,50,0.523809523809524
"104","ibr23",0,75,0.238095238095238
"105","ibr23",0,100,0
"126","ibr24",0,0,1
"127","ibr24",0,25,0.777777777777778
"128","ibr24",0,50,0.555555555555556
"129","ibr24",0,75,0.277777777777778
"130","ibr24",0,100,0
"151","ibr25",0,0,1
"152","ibr25",0,25,0.789473684210526
"153","ibr25",0,50,0.552631578947368
"154","ibr25",0,75,0.289473684210526
"155","ibr25",0,100,0
"176","ibr26",0,0,1
"177","ibr26",0,25,0.78125
"178","ibr26",0,50,0.5625
"179","ibr26",0,75,0.28125
"180","ibr26",0,100,0
"201","ibr27",0,0,1
"202","ibr27",0,25,0.769230769230769
"203","ibr27",0,50,0.538461538461539
"204","ibr27",0,75,0.282051282051282
"205","ibr27",0,100,0
"226","ibr28",0,0,1
"227","ibr28",0,25,0.774193548387097
"228","ibr28",0,50,0.548387096774194
"229","ibr28",0,75,0.258064516129032
"230","ibr28",0,100,0
"251","ibr29",0,0,1
"252","ibr29",0,25,0.793103448275862
"253","ibr29",0,50,0.551724137931034
"254","ibr29",0,75,0.275862068965517
"255","ibr29",0,100,0
"276","ibr40",0,0,1
"277","ibr40",0,25,0.789473684210526
"278","ibr40",0,50,0.526315789473684
"279","ibr40",0,75,0.263157894736842
"280","ibr40",0,100,0
"301","ibr41",0,0,1
"302","ibr41",0,25,0.8
"303","ibr41",0,50,0.55
"304","ibr41",0,75,0.275
"305","ibr41",0,100,0
"326","ibr42",0,0,1
"327","ibr42",0,25,0.785714285714286
"328","ibr42",0,50,0.535714285714286
"329","ibr42",0,75,0.285714285714286
"330","ibr42",0,100,0
"351","ibr43",0,0,1
"352","ibr43",0,25,0.5
"353","ibr43",0,50,0
"354","ibr43",0,75,0
"355","ibr43",0,100,0
"376","ibr44",0,0,1
"377","ibr44",0,25,0.810810810810811
"378","ibr44",0,50,0.486486486486486
"379","ibr44",0,75,0.216216216216216
"380","ibr44",0,100,0
"401","ibr45",0,0,1
"402","ibr45",0,25,0.787234042553191
"403","ibr45",0,50,0.531914893617021
"404","ibr45",0,75,0.276595744680851
"405","ibr45",0,100,0
"426","ibr46",0,0,1
"427","ibr46",0,25,0.794117647058823
"428","ibr46",0,50,0.558823529411765
"429","ibr46",0,75,0.294117647058824
"430","ibr46",0,100,0
"451","ibr47",0,0,1
"452","ibr47",0,25,0.78
"453","ibr47",0,50,0.54
"454","ibr47",0,75,0.28
"455","ibr47",0,100,0
"476","ibr48",0,0,1
"477","ibr48",0,25,0.774193548387097
"478","ibr48",0,50,0.516129032258065
"479","ibr48",0,75,0.258064516129032
"480","ibr48",0,100,0
"501","ibr49",0,0,1
"502","ibr49",0,25,0.777777777777778
"503","ibr49",0,50,0.518518518518518
"504","ibr49",0,75,0.259259259259259
"505","ibr49",0,100,0
"526","pan0",0,0,1
"527","pan0",0,25,0.858
"528","pan0",0,50,0.52
"529","pan0",0,75,0.186
"530","pan0",0,100,0
